DG,,,,,,,,,,,,,
"9,134,031.38 ","9,603,520.00 ","2,860,274.65 ","7,769,185.00 ","10,711,487.52 ","13,091,646.00 ","10,817,352.04 ","14,861,163.00 ","11,640,084.15 ","21,568,574.00 ","10,405,431.93 ","10,798,950.00 ","10,947,358.14 ","1,274,880.00 "
"1,535,947.76 ","2,720,074.13 ","2,590,902.19 ","425,802.81 ","1,787,583.31 ","2,650,813.50 ","1,269,730.05 ","1,620,123.37 ","1,929,318.44 ","615,877.33 ","2,202,465.64 ","988,215.02 ","2,765,579.75 ","1,056,164.56 "
"728,448.21 ","339,474.60 ","239,774.58 ","45,897.47 ","821,044.18 ","890,378.40 ","440,250.11 ","80,301.09 ","393,839.89 ","173,704.50 ","478,997.82 ","105,688.25 ","664,389.68 ","65,186.00 "
"222,844.67 ","167,780.96 ","357,873.72 ","15,909.00 ","1,414,789.20 ","532,496.36 ","339,326.39 ","36,300.00 ","387,285.27 ","61,800.00 ","321,894.74 ","78,978.90 ","278,854.86 ","27,199.00 "
"64,976.54 ","51,657.00 ","14,000.62 ",0.00 ,"65,405.40 ","24,770.00 ","39,927.77 ","26,698.00 ","68,704.05 ","19,250.00 ","25,408.33 ",0.00 ,"41,921.38 ",619.50 
"76,725.45 ","47,323.87 ","16,566.39 ","3,732.94 ","115,420.56 ","11,227.22 ","201,892.60 ",268.00 ,"62,704.99 ","1,091.00 ","92,907.94 ","18,759.51 ","146,351.03 ","20,375.25 "
"5,253,748.89 ","136,247.55 ","4,108,962.60 ","11,301,399.52 ","6,654,552.89 ","1,150,237.00 ","5,393,207.87 ","9,345,852.45 ","10,004,132.99 ","5,384,775.77 ","10,146,699.24 ","1,040,957.36 ","8,864,007.90 ","3,795,979.79 "
"2,992,428.49 ","2,839,672.44 ","989,810.67 ","201,318.53 ","4,009,760.29 ","4,202,378.44 ","2,456,562.79 ","1,043,685.61 ","2,893,001.71 ","828,652.10 ","1,995,090.24 ","1,138,158.31 ","2,517,681.40 ","861,952.71 "
"247,853.53 ","63,479.24 ","93,805.66 ","3,383.00 ","504,759.41 ","379,341.65 ","308,567.24 ","11,490.00 ","259,669.00 ","20,198.86 ","340,304.14 ","231,992.53 ","312,169.67 ","218,384.89 "
"98,391.95 ","117,528.04 ","32,297.13 ","29,725.00 ","616,594.70 ","629,278.50 ","179,921.47 ","177,222.23 ","34,364.96 ","26,875.70 ","296,854.59 ","310,213.65 ","272,800.05 ","271,440.30 "
"878,448.16 ","255,671.69 ","111,401.34 ","15,189.00 ","592,214.86 ","422,565.98 ","462,056.55 ","213,400.53 ","282,964.82 ","36,874.87 ","637,551.88 ","101,428.00 ","573,926.91 ","146,177.88 "
"13,603.25 ","39,455.00 ","5,033.32 ",0.00 ,"38,376.21 ","38,367.00 ","24,604.16 ","18,130.00 ","20,471.83 ",0.00 ,"7,984.04 ","8,795.00 ","10,758.48 ","4,160.00 "
"14,061.27 ","23,082.60 ",448.11 ,20.00 ,"35,743.03 ","32,572.00 ","14,735.50 ","15,607.00 ",217.57 ,0.00 ,"10,319.53 ","11,666.20 ","4,976.49 ","7,467.80 "
"188,220.97 ","215,731.83 ","126,684.83 ","110,395.26 ","230,658.09 ","215,819.98 ","217,725.61 ","229,676.84 ","209,597.93 ","196,125.83 ","213,871.40 ","223,317.59 ","226,705.91 ","218,922.31 "
"14,082.30 ","14,723.50 ",202.50 ,202.50 ,"50,552.80 ","63,813.95 ","26,519.38 ","24,315.00 ","4,311.17 ","3,887.00 ","4,495.56 ","1,225.00 ","7,424.54 ","7,010.72 "
,,,,,,,,,,,,,
JX,,,,,,,,,,,,,
"6,135,631.26 ","7,030,479.26 ","1,810,797.13 ","962,438.30 ","7,194,186.68 ","6,485,406.75 ","7,278,386.52 ","7,387,305.58 ","7,328,763.26 ","7,141,390.95 ","7,156,886.83 ","8,357,137.57 ","7,359,581.70 ","8,210,060.63 "
"3,376,907.31 ","4,250,940.00 ","876,353.87 ",0.00 ,"3,992,969.71 ","3,605,700.00 ","3,981,447.47 ","4,675,680.00 ","4,513,603.08 ","8,470,520.00 ","4,235,251.22 ","314,240.00 ","3,916,354.10 ","4,000,120.00 "
"726,218.92 ","892,394.19 ","496,876.23 ",0.00 ,"1,875,204.22 ","2,518,322.59 ","1,771,793.55 ","1,380,914.89 ","1,852,149.62 ","1,314,667.00 ","1,977,174.73 ","901,643.13 ","639,536.23 ","1,087,132.75 "
"142,976.79 ","91,257.63 ","111,211.12 ",0.00 ,"111,412.25 ","49,765.10 ","228,569.97 ","175,601.37 ","234,827.42 ","207,435.20 ","459,571.25 ","148,944.01 ","290,416.47 ","325,250.00 "
"157,943.45 ","40,233.00 ","20,969.37 ",0.00 ,"70,034.05 ","153,352.51 ","47,276.76 ","4,874.00 ","216,419.11 ","177,527.32 ","349,500.64 ","87,631.00 ","343,973.62 ","90,789.15 "
"-1,748.24 ","2,210.00 ","4,974.36 ",0.00 ,"31,908.58 ","15,961.00 ","6,331.96 ","9,050.00 ","7,813.90 ","3,000.00 ","41,152.93 ","34,070.00 ","70,172.04 ","12,982.00 "
"46,420.32 ","38,346.02 ","25,344.80 ",0.00 ,"35,621.84 ","57,697.23 ","6,302.52 ","3,192.18 ","35,912.82 ","17,795.20 ","100,498.29 ","12,633.66 ","257,114.10 ","78,790.57 "
"1,625,400.18 ","179,850.00 ","29,911.50 ",0.00 ,"1,312,633.96 ","78,000.00 ","1,161,228.42 ","1,526,084.56 ","1,572,086.01 ","177,000.00 ","1,568,427.10 ","1,281,463.50 ","1,708,659.26 ","1,232,721.25 "
